time,open,high,low,close
2021-03-18,1743.92,1755.52,1719.23,1736.46
2021-03-19,1734.53,1746.69,1728.49,1745.5
2021-03-22,1745.03,1746.88,1727.34,1738.82
2021-03-23,1737.93,1742.57,1724.68,1726.96
2021-03-24,1726.48,1738.41,1723.78,1734.13
2021-03-25,1733.2,1745.46,1721.73,1726.54
2021-03-26,1726.94,1736.74,1721.62,1732.46
2021-03-29,1730.86,1733.08,1705.74,1711.87
2021-03-30,1712.16,1714.36,1678.75,1684.84
2021-03-31,1684.51,1715.3,1677.88,1707.35
2021-04-01,1707.3,1730.46,1705.77,1729.83
2021-04-05,1728.51,1733.55,1721.57,1728.2
2021-04-06,1727.66,1745.48,1727.18,1743.36
2021-04-07,1742.1,1744.35,1730.62,1737.57
2021-04-08,1737,1758.67,1733.14,1755.39
2021-04-09,1754.98,1757.33,1731.17,1743.46
2021-04-12,1741.53,1745.05,1727.38,1732.77
2021-04-13,1731.73,1748.91,1723.72,1745.25
2021-04-14,1744.66,1749.37,1732.61,1736.29
2021-04-15,1735.82,1769.65,1734.39,1763.51
2021-04-16,1763.37,1783.88,1759.77,1776.75
2021-04-19,1776.17,1790.07,1766.76,1771.4
2021-04-20,1769.72,1780.46,1763.66,1778.71
2021-04-21,1778.15,1797.65,1776.27,1793.61
2021-04-22,1793.06,1797.85,1777.39,1784.03
2021-04-23,1783.44,1795.91,1769.97,1776.56
2021-04-26,1775.73,1783.52,1768.75,1781.25
2021-04-27,1780.05,1785.54,1773.68,1776.55
2021-04-28,1775.78,1782.51,1762.7,1781.62
2021-04-29,1781.21,1789.95,1756.14,1771.89
2021-04-30,1771.71,1773.67,1764.21,1769
2021-05-03,1767.96,1797.92,1766.04,1792.93
2021-05-04,1792.28,1799.02,1770.85,1778.7
2021-05-05,1778.01,1787.96,1770.31,1786.82
2021-05-06,1786.28,1818.1,1781.98,1814.89
2021-05-07,1814.19,1843.3,1812.85,1830.71
2021-05-10,1832.23,1845.42,1830,1835.64
2021-05-11,1835.41,1841.78,1818.03,1837.34
2021-05-12,1836.62,1843.67,1813.24,1815.44
2021-05-13,1815.16,1828.74,1808.79,1826.39
2021-05-14,1825.56,1846.05,1819.69,1842.62
2021-05-17,1842.4,1868.47,1840.47,1866.83
2021-05-18,1865.57,1874.97,1863.19,1869.45
2021-05-19,1869.29,1890,1852.2,1869.28
2021-05-20,1869.53,1883.89,1863.86,1876.99
2021-05-21,1876.91,1889.36,1870.09,1881.51
2021-05-24,1881.65,1887.06,1875.21,1880.69
2021-05-25,1880.42,1900.24,1872.69,1899.07
2021-05-26,1898.74,1912.74,1890.69,1896.57
2021-05-27,1896.14,1903.65,1888.18,1896.42
2021-05-28,1896.52,1905.92,1882.29,1903.4
2021-05-31,1902.31,1910.63,1901.9,1906.68
2021-06-01,1906.4,1916.57,1892.38,1900.28
2021-06-02,1900.06,1909.1,1894.38,1908.24
2021-06-03,1908.07,1909.61,1865.29,1870.53
2021-06-04,1871.14,1896.2,1855.83,1891.71
2021-06-07,1889.91,1900.1,1881.49,1898.92
2021-06-08,1898.97,1903.76,1883.72,1892.82
2021-06-09,1891.35,1899.01,1887.29,1888.49
2021-06-10,1888.31,1899.82,1869.96,1898.32
2021-06-11,1897.99,1902.99,1874.4,1876.32
2021-06-14,1876.46,1877.69,1844.68,1866.04
2021-06-15,1865.72,1869.17,1851.57,1858.67
2021-06-16,1858.42,1863.04,1803.3,1811.83
2021-06-17,1811.29,1825.29,1767.28,1773.05
2021-06-18,1772.27,1797.22,1760.94,1764.55
2021-06-21,1767.92,1786.57,1766.46,1782.92
2021-06-22,1780.97,1790.12,1772.45,1778.73
2021-06-23,1779.22,1794.95,1773.21,1778.95
2021-06-24,1778.17,1788.04,1772.8,1774.82
2021-06-25,1775.88,1790.35,1773.69,1780.88
2021-06-28,1781.31,1785.71,1770.64,1778.07
2021-06-29,1778.25,1778.95,1750.6,1761.05
2021-06-30,1761.71,1774.37,1753.34,1770.39
2021-07-01,1769.89,1782.85,1765.62,1776.71
2021-07-02,1776.86,1795.06,1774.31,1787.57
2021-07-05,1787.5,1794.54,1784.46,1790.92
2021-07-06,1791.11,1815.02,1790.07,1797.1
2021-07-07,1796.45,1809.8,1793.91,1803.64
2021-07-08,1803.54,1818.39,1794.11,1802.32
2021-07-09,1802.76,1812.37,1796.7,1808.01
2021-07-12,1807.53,1810.86,1791.58,1806.07
2021-07-13,1806.17,1817.22,1798.6,1807.55
2021-07-14,1807.71,1829.86,1804.51,1827.35
2021-07-15,1827.02,1834.17,1820.25,1829.44
2021-07-16,1829.42,1832.03,1808.97,1811.41
2021-07-19,1811.29,1817.33,1795.01,1812.71
2021-07-20,1812.75,1825.05,1805.08,1810.28
2021-07-21,1809.89,1813.72,1794.65,1803.35
2021-07-22,1803.69,1808.03,1792.74,1806.55
2021-07-23,1807.2,1810.33,1789.6,1801.71
2021-07-26,1802.15,1811.54,1796.39,1797.45
2021-07-27,1797.79,1805.29,1793.61,1798.82
2021-07-28,1799.16,1809.89,1792.51,1806.98
2021-07-29,1806.71,1832.7,1806.71,1827.95
2021-07-30,1828.38,1831.43,1810.22,1814.14
2021-08-02,1813.42,1819.51,1805.78,1813.44
2021-08-03,1812.91,1815.08,1807.12,1810.3
2021-08-04,1810.27,1831.73,1806.4,1811.83
2021-08-05,1811.94,1814.9,1797.81,1804.02
2021-08-06,1804.48,1804.8,1758.73,1762.94
2021-08-09,1762.54,1764.17,1678.93,1729.51
2021-08-10,1729.99,1738.29,1717.71,1729.16
2021-08-11,1729.24,1754.5,1724.06,1751.5
2021-08-12,1751.26,1758.15,1741.56,1752.54
2021-08-13,1752.99,1779.67,1751.75,1779.65
2021-08-16,1779.74,1789.29,1770.82,1787.05
2021-08-17,1787.22,1795.56,1780.59,1785.96
2021-08-18,1785.78,1793.84,1777.35,1787.55
2021-08-19,1787.4,1792.48,1774.42,1779.74
2021-08-20,1779.58,1788.42,1778.34,1780.89
2021-08-23,1780.49,1806.45,1776.45,1805.46
2021-08-24,1805.06,1809.6,1800.72,1803.01
2021-08-25,1802.78,1803.08,1782.59,1790.47
2021-08-26,1790.31,1798.2,1780.02,1791.96
2021-08-27,1792.8,1819.28,1787.7,1817.91
2021-08-30,1818.28,1823.23,1807.72,1810.26
2021-08-31,1809.69,1819.16,1801.65,1813.59
2021-09-01,1813.57,1820.04,1808.6,1814.1
2021-09-02,1813.34,1817.15,1804.85,1809.45
2021-09-03,1808.94,1833.99,1808.94,1827.48
2021-09-06,1827.53,1828.54,1821.35,1823.24
2021-09-07,1823.56,1827.23,1792.4,1794.29
2021-09-08,1794.39,1802.23,1782.33,1789.3
2021-09-09,1789.72,1800.97,1783.79,1794.16
2021-09-10,1793.82,1803.89,1787.16,1787.61
2021-09-13,1788.28,1798.46,1783.67,1793.33
2021-09-14,1793.16,1808.67,1781.03,1804.61
2021-09-15,1804.18,1806.88,1790.72,1793.55
2021-09-16,1793.93,1796.17,1745.32,1753.33
2021-09-17,1753.17,1767.5,1747.36,1753.73
2021-09-20,1752.93,1767.09,1742.12,1764.12
2021-09-21,1764.22,1781.73,1757.93,1774.18
2021-09-22,1774.58,1787.28,1764.67,1767.96
2021-09-23,1768.23,1776.6,1737.87,1742.36
2021-09-24,1744.05,1757.62,1740.46,1749.1
2021-09-27,1747.95,1760.84,1744.84,1750.11
2021-09-28,1750.09,1754.44,1728.1,1733.89
2021-09-29,1733.78,1745.51,1721.61,1726.4
2021-09-30,1726.74,1764.24,1722.22,1756.97
2021-10-01,1756.35,1764.3,1749.72,1760.03
2021-10-04,1760.38,1770.61,1747.71,1769.3
2021-10-05,1769.41,1769.44,1748.61,1759.79
2021-10-06,1759.73,1765.15,1745.93,1762.56
2021-10-07,1762.88,1766.95,1751.92,1755.1
2021-10-08,1755.9,1781.38,1753.33,1757.04
2021-10-11,1756.83,1760.97,1750.16,1754.29
2021-10-12,1753.78,1769.34,1750.73,1759.96
2021-10-13,1759.92,1796.19,1757.87,1792.99
2021-10-14,1792.48,1800.57,1786.67,1795.86
2021-10-15,1795.61,1796.46,1764.8,1767.39
2021-10-18,1766.46,1772.11,1760.25,1764.68
2021-10-19,1764.91,1785.08,1762.86,1769.41
2021-10-20,1768.97,1788.42,1766.79,1781.96
2021-10-21,1782.15,1789.5,1776.45,1782.89
2021-10-22,1783.25,1813.82,1782.91,1792.66
2021-10-25,1792.59,1810.09,1792.09,1807.57
2021-10-26,1807.33,1808.31,1782.36,1792.68
2021-10-27,1792.88,1799.09,1783.47,1796.83
2021-10-28,1796.37,1810.45,1792.32,1798.77
2021-10-29,1799.43,1801.14,1771.93,1782.64
2021-11-01,1782.23,1795.82,1779.07,1793.15
2021-11-02,1792.98,1796.42,1786.39,1787.93
2021-11-03,1787.55,1788.21,1758.82,1769.59
2021-11-04,1770.31,1798.94,1770.31,1791.6
2021-11-05,1790.88,1818.24,1785.09,1818.06
2021-11-08,1816.69,1826.46,1812.48,1823.81
2021-11-09,1824.92,1832.7,1819.15,1832.56
2021-11-10,1831.98,1868.6,1822.36,1852.67
2021-11-11,1849.37,1865.99,1842.97,1862.72
2021-11-12,1861.75,1868.74,1845.29,1864.95
2021-11-15,1867.72,1870.52,1856.31,1863.3
2021-11-16,1862.88,1877.09,1849.65,1850.09
2021-11-17,1849.07,1868.06,1848.54,1866.84
2021-11-18,1866.15,1870.91,1855.05,1860.62
2021-11-19,1858.19,1865.78,1843.05,1847.4
2021-11-22,1844.62,1849.08,1802.24,1805.86
2021-11-23,1806.63,1812.46,1781.94,1790.93
2021-11-24,1789.08,1796.36,1778.52,1788.07
2021-11-25,1788.69,1795.07,1786.02,1788.2
2021-11-26,1789.97,1815.54,1780.49,1791.4
2021-11-29,1784.53,1799.37,1778.2,1783.95
2021-11-30,1784.05,1808.77,1769.86,1771.77
2021-12-01,1774.39,1794.51,1772.17,1778.98
2021-12-02,1780.86,1783.35,1761.85,1769.31
2021-12-03,1768.05,1786.09,1766.13,1782.54
2021-12-06,1783.71,1787.84,1775.76,1779.12
2021-12-07,1778.15,1787.84,1772.2,1785.36
2021-12-08,1784.38,1793.1,1779.63,1785.89
2021-12-09,1782.81,1787.64,1773.52,1775.52
2021-12-10,1775.63,1789.44,1770.13,1782.48
2021-12-13,1782.15,1791.56,1781.16,1787.25
2021-12-14,1785.55,1789.55,1766.47,1770.79
2021-12-15,1770.69,1780.89,1752.95,1777.53
2021-12-16,1777.31,1798.97,1775.55,1798.73
2021-12-17,1798.72,1814.25,1796.64,1797.06
2021-12-20,1797.95,1804.11,1788.31,1788.41
2021-12-21,1790.87,1800.44,1784.86,1788.11
2021-12-22,1788.89,1804.55,1785.86,1804.34
2021-12-23,1803.85,1810.74,1798.86,1808.95
2021-12-27,1806.8,1813.48,1802.98,1812.42
2021-12-28,1811.15,1820.24,1805.01,1805.51
2021-12-29,1806.31,1807.66,1789.42,1804.79
2021-12-30,1804.37,1817.01,1796.17,1816.85
2021-12-31,1814.57,1830.38,1814.13,1830.27
2022-01-03,1829,1831.65,1798.31,1802.07
2022-01-04,1800.91,1816.7,1798.48,1815.35
2022-01-05,1814.55,1829.63,1808.29,1810.14
2022-01-06,1810.22,1811.54,1786.39,1788.11
2022-01-07,1790.8,1798.66,1782.62,1794.58
2022-01-10,1795.11,1802.34,1790.37,1801.12
2022-01-11,1801.41,1823.13,1800.06,1822.92
2022-01-12,1820.7,1828.09,1814.72,1827.17
2022-01-13,1825.72,1828.23,1812.39,1821.47
2022-01-14,1822.09,1829.13,1814.66,1817.26
2022-01-17,1817.14,1823.23,1813.11,1819.34
2022-01-18,1817.8,1822.75,1805.77,1814.02
2022-01-19,1812.82,1843.44,1810.25,1842.79
2022-01-20,1839.22,1847.95,1835.9,1838.11
2022-01-21,1839.44,1843.19,1828.49,1829.84
2022-01-24,1832.66,1844.35,1829.69,1842.2
2022-01-25,1843.14,1853.84,1834.91,1847.87
2022-01-26,1847.45,1850.06,1814.94,1818.77
2022-01-27,1819.77,1822.12,1791.8,1795.54
2022-01-28,1797.2,1799.41,1780.24,1788.69
2022-01-31,1790.52,1799.95,1785.53,1798.95
2022-02-01,1797.83,1808.78,1795.73,1801.34
2022-02-02,1800.48,1810.81,1794.4,1806.71
